call_id,primary_call_reason
4667960400,voluntary cancel
1122072124,booking
6834291559,irrops
2266439882,upgrade
1211603231,seating
5297766997,mileage plus
324593040,checkout
8902603117,mileage plus
7222687732,mileage plus
4113684017,irrops
4431106905,irrops
6935939312,voluntary change
7892954313,post flight
1548659870,seating
3313876732,check in
9009313118,post flight
2421825046,checkout
6365916412,other topics
5889442998,check in
7310794085,post flight
9929408549,irrops
8509547639,seating
1093484785,post flight
7602289538,communications
8627682007,check in
2530572183,voluntary change
7677239872,schedule change
8607543793,mileage plus
6102160207,products & services
8652716010,seating
288434426,upgrade
5289798109,products & services
3107888571,mileage plus
5737349741,upgrade
7890159923,seating
5969151433,mileage plus
3311768452,voluntary cancel
2200682864,post flight
3283019500,communications
3042091300,seating
3241712240,seating
3715152001,voluntary change
4165389905,irrops
2141788986,products & services
7348382478,irrops
5925798000,communications
9724788339,voluntary change
845866474,mileage plus
5023614450,irrops
5356883601,mileage plus
9983959358,check in
9455719171,voluntary change
1461417732,digital support
2492747146,mileage plus
3099385981,voluntary change
6354983973,post flight
4290559626,seating
9653448853,voluntary change
6788681378,seating
2326492285,disability
1804143506,voluntary change
9508402335,post flight
4541295276,mileage plus
8837237031,irrops
3944632548,seating
3991780429,voluntary change
4630350249,post flight
3006081887,unaccompanied minor
5745907727,seating
2517801923,voluntary change
5347725511,seating
3265727999,irrops
291609054,products & services
5725811355,schedule change
2855340256,irrops
1818595932,communications
5706266824,post flight
3209820220,upgrade
4498597955,irrops
3494281557,seating
7488458159,irrops
2845747512,products & services
4126649116,voluntary change
691446525,post flight
8824481397,communications
3703662675,seating
5466016706,mileage plus
2894499901,irrops
3817230689,post flight
3182938486,mileage plus
3397199569,irrops
7836953676,post flight
6627861747,communications
4886165173,post flight
8239912427,mileage plus
8691681579,irrops
6498077982,voluntary change
815115244,irrops
1162237184,mileage plus
3723048188,baggage
1286275736,seating
4155225595,mileage plus
9310693795,seating
5120262550,voluntary change
4963458977,communications
4458776244,seating
6865223937,irrops
2221555263,irrops
7593460378,voluntary change
5555212163,traveler updates
5633809296,irrops
9748102747,irrops
2457729996,communications
9452610855,voluntary change
3628122319,booking
8966807387,voluntary change
355940870,checkout
3266080628,upgrade
9426822806,irrops
2150175631,checkout
5892797648,irrops
5842119015,seating
6308193786,upgrade
6964421535,voluntary change
6794219624,mileage plus
9993775527,irrops
5450426391,irrops
2018280855,voluntary change
915962130,seating
7127665247,voluntary change
3666446277,digital support
8984455291,checkout
1525233923,upgrade
5431519237,voluntary change
4346744236,irrops
4816340535,irrops
4809910796,booking
5217078198,checkout
367804319,voluntary cancel
972292759,booking
4675010716,baggage
8614154068,traveler updates
6186829781,products & services
9216262244,irrops
9761028950,voluntary change
3766236397,mileage plus
2593524963,irrops
3384912975,post flight
2049935935,irrops
2684115029,upgrade
585740895,seating
4124838721,irrops
4143899688,seating
5888839821,voluntary cancel
5887855579,mileage plus
2328809947,booking
2258976474,products & services
9493952202,irrops
8350670977,mileage plus
998095929,irrops
5974121962,irrops
5702105939,post flight
4808821794,products & services
471919827,seating
8245792247,irrops
3326242904,voluntary change
625472288,irrops
529250087,booking
369511808,post flight
1790444108,seating
9275253129,irrops
3063375824,post flight
3857653673,mileage plus
8567122492,irrops
8487711690,seating
1865141600,baggage
186231552,irrops
1356740595,baggage
3339020161,check in
9795806060,irrops
2338361322,checkout
7043032013,voluntary change
5678060132,irrops
9049645827,seating
345016507,communications
8984018889,voluntary change
6761810180,post flight
1467423538,communications
3994254298,voluntary change
800257006,irrops
7458094693,communications
2764587410,seating
7784917409,voluntary change
1841063213,irrops
9605740557,voluntary change
9796254073,communications
3794126636,seating
1940316635,voluntary change
9252806416,voluntary cancel
7096455143,voluntary cancel
9424672408,voluntary cancel
7841630165,upgrade
7647377134,voluntary change
6445984989,irrops
1090870234,mileage plus
7130234576,seating
4593315374,schedule change
2637809196,booking
2096708473,voluntary change
7689704398,mileage plus
6655849241,irrops
5401438897,post flight
9388435740,voluntary change
6626993147,seating
7655517504,checkout
3145934504,voluntary change
5123350455,seating
9042144641,irrops
5551744814,seating
9653347069,checkout
6720432788,seating
4330005094,irrops
2109938587,baggage
8804527058,voluntary change
750943900,voluntary change
8139162586,voluntary cancel
6803900104,traveler updates
9951665354,digital support
2095470727,mileage plus
8935422797,seating
6062040810,post flight
268434877,seating
4069730994,checkout
2270967234,mileage plus
8525506359,upgrade
438834035,products & services
7064050810,irrops
1115998471,voluntary change
5997532308,voluntary change
8282302308,irrops
3309013108,products & services
949356313,post flight
1023834783,digital support
4573865210,products & services
7879984493,irrops
5973540535,check in
7472389791,booking
8136376492,seating
6185985485,irrops
7686758694,voluntary change
299696522,voluntary change
1453349038,irrops
2967505967,digital support
8994453170,voluntary change
2394617095,etc
